"","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","word","score"
"50",FALSE,0,NA,2017-11-14 20:26:25,FALSE,NA,"930532392959430657",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","searCH_mY_NAme",282,TRUE,FALSE,NA,NA,"ass",-4
"51",FALSE,0,NA,2017-11-14 20:26:25,FALSE,NA,"930532392959430657",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","searCH_mY_NAme",282,TRUE,FALSE,NA,NA,"fucking",-4
"52",FALSE,0,NA,2017-11-14 20:26:25,FALSE,NA,"930532392548421632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kayeparkinson",8,TRUE,FALSE,NA,NA,"gaining",2
"53",FALSE,0,NA,2017-11-14 20:26:25,FALSE,NA,"930532392548421632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kayeparkinson",8,TRUE,FALSE,NA,NA,"broke",-1
"54",FALSE,0,NA,2017-11-14 20:26:25,FALSE,NA,"930532392548421632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kayeparkinson",8,TRUE,FALSE,NA,NA,"fuck",-4
"55",FALSE,0,NA,2017-11-14 20:26:23,FALSE,NA,"930532383648047107",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SirForde",38,TRUE,FALSE,NA,NA,"hate",-3
"56",FALSE,0,NA,2017-11-14 20:26:23,FALSE,NA,"930532383648047107",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SirForde",38,TRUE,FALSE,NA,NA,"lmao",4
"57",FALSE,0,NA,2017-11-14 20:26:21,FALSE,NA,"930532375783723009",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","andiefield_",0,FALSE,FALSE,NA,NA,"recommend",2
"58",FALSE,0,NA,2017-11-14 20:26:06,FALSE,NA,"930532313141833730",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Brieyonce",38,TRUE,FALSE,NA,NA,"hate",-3
"59",FALSE,0,NA,2017-11-14 20:26:06,FALSE,NA,"930532313141833730",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Brieyonce",38,TRUE,FALSE,NA,NA,"lmao",4
"60",FALSE,0,NA,2017-11-14 20:25:56,FALSE,NA,"930532271605649408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","illiter8too",2,TRUE,FALSE,NA,NA,"trapped",-2
"61",FALSE,0,NA,2017-11-14 20:25:40,FALSE,NA,"930532205746630659",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JAMARIILEE",282,TRUE,FALSE,NA,NA,"like",2
"62",FALSE,0,NA,2017-11-14 20:25:40,FALSE,NA,"930532205746630659",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JAMARIILEE",282,TRUE,FALSE,NA,NA,"ass",-4
"63",FALSE,0,NA,2017-11-14 20:25:40,FALSE,NA,"930532205746630659",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JAMARIILEE",282,TRUE,FALSE,NA,NA,"fucking",-4
"64",FALSE,0,NA,2017-11-14 20:24:56,FALSE,NA,"930532019725053952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Harrieskiwis_",282,TRUE,FALSE,NA,NA,"like",2
"65",FALSE,0,NA,2017-11-14 20:24:56,FALSE,NA,"930532019725053952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Harrieskiwis_",282,TRUE,FALSE,NA,NA,"ass",-4
"66",FALSE,0,NA,2017-11-14 20:24:56,FALSE,NA,"930532019725053952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Harrieskiwis_",282,TRUE,FALSE,NA,NA,"fucking",-4
"67",FALSE,0,NA,2017-11-14 20:24:56,FALSE,NA,"930532017636130816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","idkitskass",101,TRUE,FALSE,NA,NA,"missing",-2
"68",FALSE,0,NA,2017-11-14 20:24:56,FALSE,NA,"930532017636130816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","idkitskass",101,TRUE,FALSE,NA,NA,"lack",-2
"69",FALSE,0,NA,2017-11-14 20:24:56,FALSE,NA,"930532017636130816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","idkitskass",101,TRUE,FALSE,NA,NA,"risk",-2
"70",FALSE,0,NA,2017-11-14 20:24:56,FALSE,NA,"930532017636130816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","idkitskass",101,TRUE,FALSE,NA,NA,"cancer",-1
"71",FALSE,2,NA,2017-11-14 20:24:46,TRUE,NA,"930531979367534592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tf2vore",0,FALSE,FALSE,NA,NA,"strike",-1
"72",FALSE,2,NA,2017-11-14 20:24:46,TRUE,NA,"930531979367534592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tf2vore",0,FALSE,FALSE,NA,NA,"clearly",1
"73",FALSE,2,NA,2017-11-14 20:24:46,TRUE,NA,"930531979367534592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tf2vore",0,FALSE,FALSE,NA,NA,"strike",-1
"74",FALSE,0,NA,2017-11-14 20:24:26,FALSE,NA,"930531894415867905",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emotionaIbaby",282,TRUE,FALSE,NA,NA,"like",2
"75",FALSE,0,NA,2017-11-14 20:24:26,FALSE,NA,"930531894415867905",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emotionaIbaby",282,TRUE,FALSE,NA,NA,"ass",-4
"76",FALSE,0,NA,2017-11-14 20:24:26,FALSE,NA,"930531894415867905",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emotionaIbaby",282,TRUE,FALSE,NA,NA,"fucking",-4
"77",FALSE,0,NA,2017-11-14 20:24:24,FALSE,NA,"930531885347942401",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","18_kikiii",20,TRUE,FALSE,NA,NA,"no",-1
"78",FALSE,0,NA,2017-11-14 20:24:24,FALSE,NA,"930531885347942401",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","18_kikiii",20,TRUE,FALSE,NA,NA,"no",-1
"79",FALSE,0,NA,2017-11-14 20:24:24,FALSE,NA,"930531885347942401",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","18_kikiii",20,TRUE,FALSE,NA,NA,"sick",-2
"80",FALSE,0,NA,2017-11-14 20:24:23,FALSE,NA,"930531882151882758",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","megancozort",1,TRUE,FALSE,NA,NA,"love",3
"81",FALSE,0,NA,2017-11-14 20:24:21,FALSE,NA,"930531873436057600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","QueenoftheLycan",18,TRUE,FALSE,NA,NA,"ashamed",-2
"82",FALSE,0,NA,2017-11-14 20:23:56,FALSE,NA,"930531765915176960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","notyourfriendx",101,TRUE,FALSE,NA,NA,"missing",-2
"83",FALSE,0,NA,2017-11-14 20:23:56,FALSE,NA,"930531765915176960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","notyourfriendx",101,TRUE,FALSE,NA,NA,"lack",-2
"84",FALSE,0,NA,2017-11-14 20:23:56,FALSE,NA,"930531765915176960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","notyourfriendx",101,TRUE,FALSE,NA,NA,"risk",-2
"85",FALSE,0,NA,2017-11-14 20:23:56,FALSE,NA,"930531765915176960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","notyourfriendx",101,TRUE,FALSE,NA,NA,"cancer",-1
"86",FALSE,0,NA,2017-11-14 20:23:43,FALSE,NA,"930531715122192384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","minecraft_crew1",18,TRUE,FALSE,NA,NA,"ashamed",-2
"87",FALSE,0,NA,2017-11-14 20:23:34,FALSE,NA,"930531676496760832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marysojupiter",282,TRUE,FALSE,NA,NA,"like",2
"88",FALSE,0,NA,2017-11-14 20:23:34,FALSE,NA,"930531676496760832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marysojupiter",282,TRUE,FALSE,NA,NA,"ass",-4
"89",FALSE,0,NA,2017-11-14 20:23:34,FALSE,NA,"930531676496760832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marysojupiter",282,TRUE,FALSE,NA,NA,"fucking",-4
"90",FALSE,0,NA,2017-11-14 20:22:45,FALSE,NA,"930531468920655875",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","MontsReal",0,FALSE,FALSE,NA,NA,"love",3
